nohup: ignoring input

  3%|▎         | 140/5000 [00:13<08:01, 10.10it/s, loss=-1.48]
  3%|▎         | 140/5000 [00:14<08:01, 10.10it/s, loss=-1.49]
  3%|▎         | 140/5000 [00:14<08:01, 10.10it/s, loss=-1.5] 
  3%|▎         | 142/5000 [00:14<07:57, 10.18it/s, loss=-1.5]
  3%|▎         | 142/5000 [00:14<07:57, 10.18it/s, loss=-1.51]
  3%|▎         | 142/5000 [00:14<07:57, 10.18it/s, loss=-1.52]
  3%|▎         | 144/5000 [00:14<07:52, 10.29it/s, loss=-1.52]
  3%|▎         | 144/5000 [00:14<07:52, 10.29it/s, loss=-1.52]
  3%|▎         | 144/5000 [00:14<07:52, 10.29it/s, loss=-1.53]
  3%|▎         | 146/5000 [00:14<07:54, 10.23it/s, loss=-1.53]
  3%|▎         | 146/5000 [00:14<07:54, 10.23it/s, loss=-1.54]
  3%|▎         | 146/5000 [00:14<07:54, 10.23it/s, loss=-1.54]
  3%|▎         | 148/5000 [00:14<08:02, 10.07it/s, loss=-1.54]
  3%|▎         | 148/5000 [00:14<08:02, 10.07it/s, loss=-1.55]
  3%|▎         | 148/5000 [00:14<08:02, 10.07it/s, loss=-1.56]
  3%|▎         | 150/5000 [00:14<08:05,  9.99it/s, loss=-1.56]
  3%|▎         | 150/5000 [00:15<08:05,  9.99it/s, loss=-1.56]
  3%|▎         | 150/5000 [00:15<08:05,  9.99it/s, loss=-1.57]
  3%|▎         | 152/5000 [00:15<08:01, 10.07it/s, loss=-1.57]
  3%|▎         | 152/5000 [00:15<08:01, 10.07it/s, loss=-1.58]
  3%|▎         | 152/5000 [00:15<08:01, 10.07it/s, loss=-1.58]
  3%|▎         | 154/5000 [00:15<08:00, 10.09it/s, loss=-1.58]
  3%|▎         | 154/5000 [00:15<08:00, 10.09it/s, loss=-1.59]
  3%|▎         | 154/5000 [00:15<08:00, 10.09it/s, loss=-1.59]
  3%|▎         | 156/5000 [00:15<08:02, 10.04it/s, loss=-1.59]
  3%|▎         | 156/5000 [00:15<08:02, 10.04it/s, loss=-1.6] 
  3%|▎         | 156/5000 [00:15<08:02, 10.04it/s, loss=-1.6]
  3%|▎         | 158/5000 [00:15<07:55, 10.19it/s, loss=-1.6]
  3%|▎         | 158/5000 [00:15<07:55, 10.19it/s, loss=-1.61]
  3%|▎         | 158/5000 [00:15<07:55, 10.19it/s, loss=-1.61]
  3%|▎         | 160/5000 [00:15<07:56, 10.17it/s, loss=-1.61]
  3%|▎         | 160/5000 [00:16<07:56, 10.17it/s, loss=-1.62]
  3%|▎         | 160/5000 [00:16<07:56, 10.17it/s, loss=-1.62]
  3%|▎         | 162/5000 [00:16<07:59, 10.10it/s, loss=-1.62]
  3%|▎         | 162/5000 [00:16<07:59, 10.10it/s, loss=-1.63]
  3%|▎         | 162/5000 [00:16<07:59, 10.10it/s, loss=-1.63]
  3%|▎         | 164/5000 [00:16<07:57, 10.13it/s, loss=-1.63]
  3%|▎         | 164/5000 [00:16<07:57, 10.13it/s, loss=-1.64]
  3%|▎         | 164/5000 [00:16<07:57, 10.13it/s, loss=-1.64]
  3%|▎         | 166/5000 [00:16<08:00, 10.06it/s, loss=-1.64]
  3%|▎         | 166/5000 [00:16<08:00, 10.06it/s, loss=-1.65]
  3%|▎         | 166/5000 [00:16<08:00, 10.06it/s, loss=-1.65]
  3%|▎         | 168/5000 [00:16<08:02, 10.01it/s, loss=-1.65]
  3%|▎         | 168/5000 [00:16<08:02, 10.01it/s, loss=-1.65]
  3%|▎         | 168/5000 [00:16<08:02, 10.01it/s, loss=-1.66]
  3%|▎         | 170/5000 [00:16<08:02, 10.00it/s, loss=-1.66]
  3%|▎         | 170/5000 [00:17<08:02, 10.00it/s, loss=-1.66]
  3%|▎         | 170/5000 [00:17<08:02, 10.00it/s, loss=-1.67]
  3%|▎         | 172/5000 [00:17<07:57, 10.11it/s, loss=-1.67]
  3%|▎         | 172/5000 [00:17<07:57, 10.11it/s, loss=-1.67]
  3%|▎         | 172/5000 [00:17<07:57, 10.11it/s, loss=-1.67]
  3%|▎         | 174/5000 [00:17<07:52, 10.21it/s, loss=-1.67]
  3%|▎         | 174/5000 [00:17<07:52, 10.21it/s, loss=-1.68]
  3%|▎         | 174/5000 [00:17<07:52, 10.21it/s, loss=-1.68]
  4%|▎         | 176/5000 [00:17<07:49, 10.27it/s, loss=-1.68]
  4%|▎         | 176/5000 [00:17<07:49, 10.27it/s, loss=-1.68]
  4%|▎         | 176/5000 [00:17<07:49, 10.27it/s, loss=-1.69]
  4%|▎         | 178/5000 [00:17<07:51, 10.22it/s, loss=-1.69]
  4%|▎         | 178/5000 [00:17<07:51, 10.22it/s, loss=-1.69]
  4%|▎         | 178/5000 [00:17<07:51, 10.22it/s, loss=-1.69]
  4%|▎         | 180/5000 [00:17<07:50, 10.24it/s, loss=-1.69]
  4%|▎         | 180/5000 [00:18<07:50, 10.24it/s, loss=-1.7] 
  4%|▎         | 180/5000 [00:18<07:50, 10.24it/s, loss=-1.7]
  4%|▎         | 182/5000 [00:18<07:47, 10.30it/s, loss=-1.7]
  4%|▎         | 182/5000 [00:18<07:47, 10.30it/s, loss=-1.7]
  4%|▎         | 182/5000 [00:18<07:47, 10.30it/s, loss=-1.7]
  4%|▎         | 184/5000 [00:18<07:52, 10.19it/s, loss=-1.7]
  4%|▎         | 184/5000 [00:18<07:52, 10.19it/s, loss=-1.71]
  4%|▎         | 184/5000 [00:18<07:52, 10.19it/s, loss=-1.71]
  4%|▎         | 186/5000 [00:18<08:00, 10.01it/s, loss=-1.71]
