scenario,scenario_display,sample_idx,target_region,target_region_idx,aggregate_type,method,mse,mae,crps,interval_score,ci_width,coverage
HCM,Multi-territory MI (μ=1.7),19,All Regions,-1,Diseased Avg,MCMC,0.018868,,0.088918,0.999793,0.999793,1.000000
HCM,Multi-territory MI (μ=1.7),20,All Regions,-1,Overall Avg,Point Estimate,0.035429,0.119183,0.119183,,0.000000,
HCM,Multi-territory MI (μ=1.7),20,All Regions,-1,Overall Avg,MCMC,0.008048,,0.086952,1.083576,1.083576,1.000000
HCM,Multi-territory MI (μ=1.7),20,All Regions,-1,Diseased Avg,Point Estimate,0.035429,0.119183,0.119183,,0.000000,
HCM,Multi-territory MI (μ=1.7),20,All Regions,-1,Diseased Avg,MCMC,0.008048,,0.086952,1.083576,1.083576,1.000000
HCM,Multi-territory MI (μ=1.7),21,All Regions,-1,Overall Avg,Point Estimate,0.045203,0.141801,0.141801,,0.000000,
HCM,Multi-territory MI (μ=1.7),21,All Regions,-1,Overall Avg,MCMC,0.009606,,0.091339,1.189402,1.189402,1.000000
HCM,Multi-territory MI (μ=1.7),21,All Regions,-1,Diseased Avg,Point Estimate,0.045203,0.141801,0.141801,,0.000000,
HCM,Multi-territory MI (μ=1.7),21,All Regions,-1,Diseased Avg,MCMC,0.009606,,0.091339,1.189402,1.189402,1.000000
HCM,Multi-territory MI (μ=1.7),22,All Regions,-1,Overall Avg,Point Estimate,0.028939,0.106825,0.106825,,0.000000,
HCM,Multi-territory MI (μ=1.7),22,All Regions,-1,Overall Avg,MCMC,0.007982,,0.085718,1.052976,1.052976,1.000000
HCM,Multi-territory MI (μ=1.7),22,All Regions,-1,Diseased Avg,Point Estimate,0.028939,0.106825,0.106825,,0.000000,
HCM,Multi-territory MI (μ=1.7),22,All Regions,-1,Diseased Avg,MCMC,0.007982,,0.085718,1.052976,1.052976,1.000000
HCM,Multi-territory MI (μ=1.7),23,All Regions,-1,Overall Avg,Point Estimate,0.053601,0.150865,0.150865,,0.000000,
HCM,Multi-territory MI (μ=1.7),23,All Regions,-1,Overall Avg,MCMC,0.004557,,0.085538,1.138199,1.138199,1.000000
HCM,Multi-territory MI (μ=1.7),23,All Regions,-1,Diseased Avg,Point Estimate,0.053601,0.150865,0.150865,,0.000000,
HCM,Multi-territory MI (μ=1.7),23,All Regions,-1,Diseased Avg,MCMC,0.004557,,0.085538,1.138199,1.138199,1.000000
HCM,Multi-territory MI (μ=1.7),24,All Regions,-1,Overall Avg,Point Estimate,0.038615,0.125528,0.125528,,0.000000,
HCM,Multi-territory MI (μ=1.7),24,All Regions,-1,Overall Avg,MCMC,0.007937,,0.087872,1.131576,1.131576,1.000000
HCM,Multi-territory MI (μ=1.7),24,All Regions,-1,Diseased Avg,Point Estimate,0.038615,0.125528,0.125528,,0.000000,
HCM,Multi-territory MI (μ=1.7),24,All Regions,-1,Diseased Avg,MCMC,0.007937,,0.087872,1.131576,1.131576,1.000000
HCM,Multi-territory MI (μ=1.7),25,All Regions,-1,Overall Avg,Point Estimate,0.035822,0.123325,0.123325,,0.000000,
HCM,Multi-territory MI (μ=1.7),25,All Regions,-1,Overall Avg,MCMC,0.014396,,0.091292,1.095583,1.095583,1.000000
HCM,Multi-territory MI (μ=1.7),25,All Regions,-1,Diseased Avg,Point Estimate,0.035822,0.123325,0.123325,,0.000000,
HCM,Multi-territory MI (μ=1.7),25,All Regions,-1,Diseased Avg,MCMC,0.014396,,0.091292,1.095583,1.095583,1.000000
HCM,Multi-territory MI (μ=1.7),26,All Regions,-1,Overall Avg,Point Estimate,0.044130,0.137974,0.137974,,0.000000,
HCM,Multi-territory MI (μ=1.7),26,All Regions,-1,Overall Avg,MCMC,0.006591,,0.087947,1.133430,1.133430,1.000000
